              Name           Packing           VoroMQA             SBROD             3DCNN             ProQ2             ProQ3        ProteinPro               GDT
    t0953s2ts402_3         25.917749          0.099585          1.154883          0.036060         -0.014091         -0.157857         48.642030          7.762000
      t1005ts044_5         77.996483          0.420570          1.604062          0.607290          0.330146          0.322713         65.504878         55.828000
    t0968s1ts414_1          8.892327          0.230587          1.258143          0.290880          0.024484          0.049568         29.272261         19.703000
      t0954ts266_5         62.540524          0.329988          1.602447          0.313650          0.475823          0.403245         36.929120         47.588000
    t0968s2ts071_5         19.585644          0.281917          1.332808          0.368900          0.221123          0.090201         81.513951         20.435000
      t0954ts112_2         58.300198          0.437152          1.622655          0.366150          0.505561          0.478808         65.826003         39.327000
      t1003ts312_4         42.593502          0.277436          1.664656          0.530740          0.454126          0.471625        -17.773073         66.014000
    t0968s2ts282_1         13.719083          0.170789          1.254789          0.042270          0.040192         -0.092161         36.308031         32.609000
    t0957s2ts351_2         12.625837          0.245347          1.309047          0.192870          0.243297          0.083933         52.154765         28.797000
      t0951ts402_1         93.004013          0.532970          1.663503          0.862740          0.697326          0.745357         64.882235         91.917000
      t0954ts208_5         68.023247          0.403402          1.610994          0.477020          0.576323          0.474104          6.003691         53.143000
    t0968s2ts401_3         11.114117          0.321532          1.277428          0.165710          0.133229         -0.064125          8.877008         22.826000
      t1011ts274_3         61.132179          0.386118          1.549405          0.592870          0.429773          0.423359          2.123412         40.597000
    t0968s1ts472_3         11.008465          0.133243          1.269905          0.140290         -0.072494         -0.148847         17.129150         16.949000
      t1011ts071_2         19.505714          0.343853          1.499567          0.312150          0.276325          0.217913         34.338214          9.347000
    t0953s2ts470_5          4.320949          0.184162          1.270114          0.247970          0.200652          0.067804         26.934438          7.258000
    t0968s1ts221_3         15.183079          0.243646          1.275692          0.317170          0.259477          0.227900         10.182184         42.161000
    t0968s2ts274_4         28.669785          0.469121          1.556833          0.704260          0.351990          0.418449         38.667888         66.087000
    t0957s2ts377_5         53.849262          0.447937          1.377657          0.618290          0.264727          0.126378         32.345261         42.880000
      t1005ts135_3         38.526569          0.344192          1.623833          0.442980          0.279347          0.252088         10.739580         53.298000
      t1011ts441_1         32.539886          0.346391          1.567437          0.510200          0.368548          0.350983         51.842448         40.991000
      t1005ts241_4         48.963650          0.395564          1.505067          0.512690          0.351847          0.316630         41.150579         49.463000
      t0954ts023_1         32.155685          0.421036          1.691775          0.433610          0.506366          0.483377         63.755208         52.632000
      t1005ts378_5         11.700442          0.116213          1.231019          0.026500         -0.001657         -0.053496        106.434554          9.356000
    t0968s2ts222_1          9.933962          0.567669          1.462775          0.637550          0.373157          0.592817          7.285388         31.304000
    t0953s2ts322_1         77.012436          0.395268          1.461506          0.609990          0.433300          0.442718         82.600359         39.617000
      t1011ts457_1         68.740906          0.434944          1.523893          0.688610          0.454896          0.388918         37.413437         39.809000
    t0968s2ts471_1         25.878523          0.367113          1.467606          0.432570          0.219430          0.227695         58.991427         25.217000
      t1005ts257_4          8.607857          0.058406          1.284424          0.067720         -0.252806         -0.190177        100.474504          6.442000
      t1003ts426_2         95.821335          0.428919          1.767817          0.789540          0.564529          0.551572         57.991742         87.730000
    t0968s2ts431_4          9.355803          0.387699          1.441934          0.597420          0.220422          0.246368         47.848104         23.478000
    t0953s2ts086_4         33.842377          0.359447          1.436697          0.558130          0.387739          0.311950         68.479633         24.194000
    t0953s2ts498_2         14.255480          0.244777          1.355375          0.218220          0.308738          0.268397         19.414530         39.113000
      t1011ts244_4         23.985983          0.261759          1.304819          0.111010          0.308481          0.321472         45.764040         14.809000
    t0957s2ts085_5         28.749023          0.225078          1.346097          0.199800          0.146745          0.068996         52.623419         16.297000
    t0968s2ts116_3         18.721094          0.323737          1.320871          0.440350          0.230798          0.187618        -15.579410         33.261000
    t0957s2ts192_1         66.642372          0.389225          1.391591          0.508050          0.359571          0.206499         38.802640         25.158000
      t1005ts390_2         71.980858          0.420515          1.569521          0.588900          0.378971          0.346069         33.046590         54.755000
    t0968s2ts335_5         29.006184          0.479997          1.508471          0.648320          0.385895          0.382790         82.198208         65.217000
    t0968s2ts041_2         10.406235          0.110985          1.218887          0.044150         -0.040495         -0.093319         47.077803         18.478000
      t1005ts279_1         41.392986          0.268030          1.481251          0.397430          0.242562          0.246875         55.261823         46.319000
      t1003ts322_3         91.207230          0.411569          1.730680          0.763880          0.536273          0.536507         54.117072         90.207000
    t0953s2ts344_3         86.624718          0.344279          1.415203          0.506940          0.357811          0.382831         49.702576         22.581000
      t1011ts116_4         18.233362          0.289107          1.503956          0.494100          0.340329          0.343726         74.623854         39.527000
    t0968s2ts244_3         16.269053          0.101565          1.189637          0.058150         -0.042269         -0.164556         54.594981         15.435000
      t1005ts145_1         60.356789          0.410265          1.518145          0.614340          0.372035          0.290415         61.682920         50.997000
      t1011ts156_1         29.136236          0.408073          1.522408          0.576660          0.418164          0.361221         59.228683         46.227000
      t1005ts348_2         15.291154          0.098621          1.127748          0.019720          0.025805         -0.003117        -15.555941         29.141000
    t0957s2ts329_2         28.209513          0.245036          1.395856          0.342830          0.324171          0.219234         68.953753         41.297000
      t1011ts041_5         13.149854          0.195755          1.241653          0.106960          0.188324          0.176317         37.018681         10.642000
      t1003ts149_2         79.729179          0.332045          1.662552          0.717610          0.461363          0.496631         74.330073         73.618000
    t0957s2ts164_4         49.942554          0.334410          1.398858          0.345190          0.307223          0.175712         58.569018         32.753000
      t0963ts358_1         38.214710          0.239552          1.304313          0.137550          0.082557          0.008920         36.855909          5.288000
      t1011ts335_2         14.563407          0.400375          1.548508          0.580960          0.434822          0.431881         25.003596         42.962000
    t0968s1ts402_1         63.642441          0.137604          1.270817          0.080660          0.041523         -0.114225          2.933241         18.220000
      t0963ts472_5         24.118155          0.188868          1.315073          0.150480         -0.034089         -0.169640          3.767713          5.632000
      t0954ts309_1         88.079010          0.504346          1.771801          0.777700          0.653875          0.621691         38.418037         66.886000
      t1003ts344_1         94.232651          0.442702          1.779068          0.778450          0.558748          0.554094         45.248159         87.385000
    t0957s2ts124_1         20.501240          0.357905          1.459209          0.406220          0.292366          0.251810         73.496121         39.399000
    t0957s2ts244_2         14.087465          0.168066          1.320611          0.118340          0.065216          0.027768         29.687931         20.411000
      t1011ts085_3         24.206680          0.241726          1.476831          0.442970          0.371024          0.348091         50.385725         38.345000
      t0954ts224_4         83.311172          0.441069          1.641351          0.583570          0.520101          0.495731         75.582845         59.211000
      t1011ts055_1         70.450897          0.423450          1.537682          0.618430          0.431621          0.368132         75.383722         39.245000
      t1005ts488_5         20.429968          0.340231          1.399945          0.359550          0.266449          0.212845         70.158672         31.672000
    t0968s2ts397_1         10.970057          0.105258          1.155063          0.028220         -0.079438         -0.009829         37.462531         15.652000
      t0951ts149_2         84.440353          0.527344          1.669142          0.858610          0.680754          0.704023         12.084975         92.575000
      t1005ts418_2         22.826513          0.187360          1.415011          0.050970          0.151308          0.033996         41.920029         12.040000
      t0963ts426_4         63.593918          0.328411          1.488597          0.323300          0.214998          0.133707         76.327069         10.508000
    t0968s2ts329_3         16.742393          0.299009          1.400965          0.276970          0.233634          0.284394         54.570159         59.565000
      t0954ts007_2         42.030140          0.274354          1.534630          0.259610          0.313569          0.166749         65.357753         29.240000
    t0968s1ts312_4         11.818526          0.074123          1.192469          0.040760         -0.004246         -0.053363         41.949974         18.432000
    t0968s2ts164_5         23.490870          0.375831          1.322762          0.265240          0.208928          0.212389         40.484852         27.609000
      t1005ts068_4         43.598083          0.431586          1.603349          0.658130          0.299720          0.263016         44.098005         46.472000
      t0963ts322_5         15.728959          0.275167          1.402003          0.357490          0.127009         -0.018354         45.427711         19.437000
    t0953s2ts221_1         43.665554          0.365424          1.455011          0.463740          0.297105          0.294553         50.477468         23.185000
      t1005ts354_4         78.335075          0.419095          1.551098          0.594310          0.377095          0.345225         -1.452630         53.988000
    t0953s2ts472_1         25.917749          0.254023          1.295228          0.333520          0.069367         -0.027756         15.393160          7.762000
    t0953s2ts261_4         30.239588          0.358792          1.386898          0.290050          0.351777          0.315072         21.487813         17.944000
      t1003ts092_2         71.209404          0.433564          1.748464          0.830570          0.546426          0.547966          3.988842         86.463000
    t0968s1ts117_5         14.245546          0.296864          1.368251          0.540470          0.292649          0.177693         47.619295         58.051000
    t0953s2ts358_5         12.951825          0.150999          1.242213          0.064410         -0.001261         -0.032257         69.061207          9.677000
    t0957s2ts431_5         26.406118          0.433266          1.463694          0.857540          0.341881          0.292273         38.587031         25.475000
    t0957s2ts116_2         82.890450          0.288861          1.449589          0.243940          0.185518          0.144070         18.586049         44.937000
    t0968s2ts085_4         16.425863          0.364611          1.406069          0.344580          0.166270          0.195158          5.949878         18.696000
      t0963ts149_4         14.462801          0.173174          1.406813          0.140980          0.052526         -0.136191         64.349902         10.371000
    t0957s2ts335_4         15.721869          0.386589          1.439228          0.543580          0.218002          0.024619         18.156128         43.354000
      t1011ts164_2         64.951561          0.362318          1.505691          0.455280          0.393266          0.363159         58.867833         36.655000
      t1003ts472_3         55.963882          0.382161          1.638400          0.674100          0.521476          0.533747         41.613439         55.069000
      t1011ts329_4         50.033970          0.362833          1.453916          0.532310          0.350480          0.368797         -2.121544         41.948000
    t0957s2ts041_3         26.583961          0.139518          1.318280          0.137920         -0.027566          0.008254         74.711957         18.987000
    t0953s2ts470_4         21.359364          0.173856          1.252417          0.257840          0.174687          0.006289         34.801832          6.855000
    t0968s1ts221_2         35.400143          0.273083          1.350133          0.428190          0.235786          0.171937        -17.674398         38.559000
    t0968s1ts472_2         24.337545          0.125731          1.264816          0.143740         -0.006966         -0.127147         95.820733         16.737000
      t1011ts071_3         54.468548          0.282370          1.350780          0.143560          0.295146          0.320230         26.015590         14.977000
      t0963ts492_1         19.281239          0.293196          1.425126          0.440180          0.148583         -0.104889        -10.995000         16.964000
      t1005ts241_5         49.801044          0.427359          1.598574          0.633670          0.362135          0.299829         12.858428         52.684000
      t1005ts378_4         11.302373          0.092472          1.226183          0.039200         -0.002321         -0.075956         59.818685         10.813000
      t1003ts157_1         10.976956          0.191101          1.491119          0.185910          0.187134          0.094246         -1.834551         14.689000
      t1005ts135_2         33.966858          0.375335          1.624040          0.532580          0.367354          0.362308         26.983694         42.331000
    t0957s2ts337_1         39.262379          0.253590          1.359152          0.424640          0.256600          0.193631         34.567616         20.570000
    t0968s2ts274_5         44.179474          0.447426          1.552697          0.667770          0.354706          0.442246         72.626434         70.000000
    t0957s2ts377_4         63.499954          0.441751          1.435084          0.630790          0.256887          0.135996        -21.807582         47.152000
      t0954ts112_3         38.943569          0.431953          1.653979          0.446710          0.527681          0.447744         42.679229         48.757000
    t0968s2ts071_4         10.544310          0.384282          1.348949          0.176810          0.093915          0.050975         58.137399         25.652000
      t1003ts312_5         57.230099          0.297900          1.685216          0.558360          0.462068          0.487185         36.202786         66.820000
      t0954ts266_4         45.482582          0.361321          1.661668          0.392750          0.471298          0.390839         10.073398         50.658000
      t1005ts004_1         23.280966          0.343311          1.486332          0.558100          0.304208          0.214284         13.431865         44.709000
      t1005ts044_4         49.801044          0.427359          1.598574          0.633670          0.362135          0.299829         64.674309         52.684000
      t0951ts368_1         88.312019          0.562546          1.664367          0.898630          0.724015          0.772366         44.070103         93.703000
    t0968s2ts401_2         16.269053          0.307451          1.271910          0.240100          0.208524          0.019753         66.312968         15.435000
      t1011ts274_2         61.132179          0.386118          1.549405          0.592870          0.429773          0.423359         17.418001         40.597000
    t0957s2ts351_3         12.625837          0.245347          1.309047          0.192870          0.243297          0.083933         93.681298         28.797000
      t0954ts208_4         39.300007          0.342747          1.528223          0.316970          0.417836          0.387606         16.631477         48.099000
    t0957s2ts381_1         24.311115          0.164627          1.390026          0.162960          0.168853          0.086370         69.813289         22.627000
    t0957s2ts071_5         13.030248          0.210322          1.351989          0.137740         -0.033525         -0.123355         51.153282         23.418000
    t0968s1ts149_3         24.400082          0.160443          1.325764          0.164140          0.106732          0.066855         52.479275         29.661000
      t0954ts365_4         11.630364          0.136284          1.329431          0.135070          0.108160         -0.025781         15.484016          9.137000
      t1003ts368_1         81.708321          0.429461          1.744593          0.810990          0.579278          0.572656         13.855401         88.882000
      t1005ts460_3         29.287693          0.449130          1.597249          0.577680          0.395200          0.353488         53.373917         50.383000
    t0957s2ts401_3         21.484840          0.370479          1.366293          0.348890          0.279344          0.171137         69.958174         26.741000
    t0953s2ts492_5         50.468266          0.343097          1.469593          0.482920          0.318301          0.217666         50.500254         20.060000
      t1011ts377_2         43.436188          0.421206          1.529239          0.559290          0.448816          0.416067         16.192758         39.752000
    t0953s2ts402_2         11.518287          0.081230          1.134436          0.034840         -0.150402         -0.194274         70.061546          6.754000
    t0968s2ts351_2         16.742393          0.299009          1.400965          0.276970          0.233634          0.284394         54.621286         59.565000
    t0953s2ts368_3         53.401199          0.305490          1.405547          0.589870          0.298634          0.283400          6.834110         15.827000
      t0951ts312_5         87.123878          0.459749          1.672805          0.850440          0.646064          0.670079         57.521636         91.541000
      t0963ts117_2         18.352041          0.115024          1.337238          0.033680         -0.019777         -0.109632         60.669258         10.096000
    t0957s2ts282_1         17.644749          0.238389          1.284887          0.202450          0.227480          0.069002         28.211870         21.203000
      t0954ts077_1         69.465263          0.461544          1.704820          0.675330          0.580800          0.508476         38.144685         54.605000
      t0963ts312_3         24.847486          0.090805          1.270996          0.031040         -0.167348         -0.201714         22.116813          5.151000
      t1011ts246_1         70.690086          0.361213          1.490559          0.532440          0.310967          0.318308         88.657301         47.185000
    t0968s1ts498_1         21.603209          0.219265          1.336969          0.266950          0.225027          0.172329         52.017107         60.381000
      t1005ts058_2         55.702297          0.323436          1.488216          0.474620          0.345030          0.306602         30.398281         45.399000
    t0968s1ts322_2         25.220057          0.299869          1.386601          0.490130          0.266684          0.193920         63.219839         61.441000
    t0968s2ts473_4         20.726038          0.291625          1.348230          0.438720          0.092156          0.153851         17.605034         26.957000
    t0968s2ts389_2         10.517927          0.319423          1.479410          0.423770          0.159136          0.061643         44.917607         17.826000
      t1005ts406_1         47.312542          0.354634          1.592974          0.460020          0.337681          0.263734         28.669554         53.451000
      t0954ts160_5         47.421947          0.381423          1.594566          0.444760          0.458440          0.343138         22.724418         45.322000
      t1011ts351_5         32.287235          0.233070          1.369921          0.244530          0.260211          0.235307         44.339872         18.187000
    t0968s1ts426_3         47.206196          0.333984          1.399958          0.539610          0.296100          0.328903         51.873980         47.034000
    t0957s2ts274_4         50.862793          0.455129          1.515738          0.634660          0.417814          0.234390          7.936761         46.203000
    t0968s2ts377_5         61.659107          0.517272          1.445927          0.562030          0.428971          0.293058         54.304315         62.609000
      t0954ts214_2         90.950325          0.529686          1.845578          0.829470          0.622585          0.611796         29.077881         67.325000
    t0957s2ts431_4         14.543977          0.443375          1.433500          0.744200          0.310750          0.254045         32.829562         16.930000
    t0968s2ts085_5         14.173800          0.187920          1.287402          0.101390          0.046406         -0.080162         40.812624         17.391000
    t0957s2ts116_3         12.320333          0.279009          1.418199          0.200820          0.113710          0.077550         52.687138         41.139000
    t0953s2ts261_5         61.407448          0.289086          1.395036          0.354410          0.410651          0.405069         -0.636763         17.641000
      t1003ts092_3         93.477295          0.425557          1.743154          0.825550          0.570983          0.585085         50.912313         85.714000
    t0968s1ts117_4         32.497410          0.204406          1.290336          0.236320          0.105478          0.012427         43.440345         53.602000
    t0953s2ts358_4         14.941147          0.102172          1.190424          0.045370         -0.089352         -0.082748         56.818748          8.972000
      t0951ts498_1         31.447166          0.427581          1.652072          0.606980          0.616375          0.683422         43.346188         70.019000
      t1005ts354_5         71.980858          0.330387          1.571974          0.458290          0.232468          0.289921         85.275738         54.755000
    t0957s2ts471_1         30.653465          0.266311          1.336361          0.333430          0.248806          0.055107         63.587528         34.968000
    t0957s2ts222_1         54.479187          0.494405          1.501806          0.730560          0.498918          0.325193          2.767612         47.310000
    t0968s1ts157_1         13.653994          0.142402          1.266067          0.127160          0.130865          0.071167         55.264694         29.025000
      t1005ts243_1         70.411797          0.347000          1.541938          0.489310          0.337970          0.322100         48.855428         47.699000
    t0957s2ts041_2         19.330635          0.158979          1.331806          0.149420          0.015622          0.011963         -4.029174         19.146000
    t0957s2ts335_5         78.021561          0.391889          1.432863          0.628590          0.314391          0.200183         49.270486         46.361000
      t1003ts472_2         53.693340          0.375161          1.664821          0.686180          0.516070          0.520135         65.894288         55.242000
      t1011ts164_3         47.968037          0.355286          1.468521          0.481900          0.337138          0.287528         53.315514         36.937000
      t1011ts250_1         40.493622          0.380752          1.470911          0.563890          0.397464          0.402153         39.127686         41.329000
    t0968s2ts192_1         66.850464          0.457479          1.452933          0.698740          0.348569          0.382799         12.239032         60.435000
      t0963ts149_5         36.047421          0.164829          1.355183          0.133800          0.046065         -0.146304         39.341611         10.920000
      t1011ts288_1         91.722191          0.455434          1.539491          0.596200          0.400063          0.336979          8.103112         20.890000
      t1005ts488_4         28.880051          0.322860          1.481424          0.388600          0.242462          0.208821         60.171254         31.058000
      t0951ts149_3         68.365654          0.480433          1.661955          0.879580          0.688009          0.652399         97.844085         82.425000
      t1005ts418_3         35.680832          0.218505          1.417611          0.088540          0.202942          0.111050         43.213437         13.037000
      t0963ts426_5         12.292423          0.332636          1.479161          0.360960          0.209697          0.136941         54.614958         19.574000
    t0957s2ts244_3         14.543977          0.204116          1.291867          0.199320          0.048963          0.120270         12.644678         16.930000
      t1011ts085_2         43.158226          0.338163          1.460994          0.453810          0.328380          0.283943         48.672286         36.599000
      t0954ts224_5         66.722336          0.507503          1.772716          0.786660          0.649065          0.593667         38.026510         66.447000
    t0968s2ts124_1         19.459509          0.484855          1.416080          0.517940          0.331297          0.462712         31.304214         30.652000
      t0963ts322_4         45.446365          0.368579          1.446026          0.437890          0.252066          0.134369         41.569136         20.673000
      t1005ts068_5         70.411797          0.425224          1.617971          0.706890          0.290209          0.245786         46.553511         47.699000
    t0968s2ts164_4         25.094261          0.332490          1.313680          0.108700          0.254302          0.175364         30.988372         27.391000
      t0954ts007_3         54.272690          0.322249          1.585508          0.374660          0.396513          0.301387         34.947832         32.310000
    t0968s1ts312_5         23.398636          0.063086          1.161007          0.028180         -0.232119         -0.204963         76.168522         13.136000
      t0963ts086_1         40.084049          0.333901          1.483370          0.406160          0.213438          0.066087         46.483046         17.857000
    t0968s2ts329_2         13.183037          0.235997          1.380076          0.142770          0.159272          0.061279         31.861621         29.565000
    t0953s2ts149_1         14.875331          0.178617          1.307841          0.132020          0.193158          0.175182         42.338933         16.230000
      t1005ts348_3         17.021437          0.121644          1.180904          0.051010          0.011839          0.068063         51.230610         29.064000
    t0957s2ts397_1         18.417662          0.081198          1.241955          0.033000          0.008137         -0.052699        -12.450776         16.772000
    t0968s2ts244_2         24.523598          0.085095          1.130191          0.017430         -0.159773         -0.142845         26.521729         16.739000
    t0953s2ts344_2         60.284081          0.348544          1.484726          0.488670          0.269505          0.171173          4.667901         20.766000
      t1011ts116_5         18.233362          0.272546          1.515634          0.448080          0.355640          0.355556         11.573305         39.527000
    t0968s1ts368_1         16.820404          0.324888          1.395816          0.668020          0.336861          0.324839         59.921401         66.737000
      t0963ts472_4         24.118155          0.188868          1.315073          0.150480         -0.034089         -0.169640          3.710790          5.632000
    t0957s2ts164_5         30.526634          0.363953          1.420876          0.392050          0.285518          0.141231         40.912338         33.544000
    t0968s1ts281_2         20.845392          0.304653          1.439997          0.717640          0.307342          0.328019         48.619620         65.042000
      t0963ts261_1         28.557829          0.374422          1.490992          0.428470          0.231229          0.133249         59.606040         20.467000
      t1011ts335_3         60.578136          0.412098          1.541740          0.547000          0.445444          0.437717         62.579689         42.624000
      t0963ts432_1         12.582752          0.141350          1.315441          0.194970         -0.197687         -0.292455         15.729971         20.742000
    t0957s2ts329_3         28.209513          0.245144          1.396032          0.324980          0.342601          0.188547         47.278319         41.297000
      t1011ts041_4         13.549931          0.180150          1.260741          0.132650          0.166178          0.143102        -13.852492          9.797000
      t1003ts149_3         14.713511          0.352061          1.713291          0.692270          0.522096          0.548447         64.761647         70.392000
    t0953s2ts498_3         12.700736          0.257552          1.357115          0.251300          0.230786          0.205367         81.474442         39.012000
    t0968s2ts431_5         25.923491          0.435271          1.434599          0.664990          0.260151          0.251321         -3.086728         38.043000
    t0953s2ts086_5         69.592789          0.350028          1.467407          0.611000          0.396988          0.353929         29.864487         28.831000
    t0968s2ts116_2         57.790276          0.309034          1.426007          0.346580          0.148684          0.192775         21.451141         42.609000
      t1011ts244_5         19.363167          0.242721          1.339686          0.176520          0.202160          0.242476         46.789484         12.838000
    t0957s2ts085_4         28.417442          0.316463          1.362947          0.267460          0.040651          0.006820         26.561451         44.462000
      t1003ts426_3         94.076004          0.431111          1.750904          0.770930          0.587021          0.608586         31.940425         83.813000
      t1005ts257_5          9.054661          0.061203          1.320722          0.069450         -0.183527         -0.187235         28.921731          7.055000
    t0968s2ts041_3         13.087579          0.113877          1.225820          0.053540         -0.110602         -0.153962         25.378149         17.174000
      t1003ts322_2         79.690140          0.402592          1.753659          0.785710          0.564326          0.557234         57.461361         90.323000
    t0968s2ts335_4         36.933628          0.457506          1.393662          0.486340          0.394579          0.307357         38.528080         64.348000
    t0953s2ts426_1         60.284081          0.326051          1.483475          0.462590          0.291123          0.163719         -3.513421         20.766000
      t1005ts390_3         55.786961          0.414753          1.558056          0.618040          0.357572          0.372303         72.400587         51.150000
      t1003ts498_1         50.986797          0.336925          1.663971          0.568000          0.485573          0.514112         22.336510         54.666000
      t1011ts192_5         57.302032          0.414745          1.510183          0.641510          0.438004          0.393379         21.592491         41.554000
      t0954ts047_5         13.669342          0.364818          1.680268          0.431570          0.471749          0.412609         66.020387         55.263000
    t0968s2ts124_2         27.915419          0.452232          1.387725          0.400720          0.259311          0.450956         75.912760         28.696000
      t0963ts498_4         14.258107          0.272833          1.420093          0.180690          0.076196         -0.025373          7.693998         16.552000
    t0968s2ts329_1         15.477610          0.216677          1.284492          0.229540          0.009816         -0.037845         67.160645         19.130000
      t0963ts086_2         34.479000          0.381625          1.502707          0.570200          0.201683          0.054118         40.248980         18.819000
      t1011ts055_3         33.457909          0.412916          1.529140          0.607040          0.403879          0.370981          9.904370         40.935000
    t0957s2ts457_5         63.228958          0.474561          1.487169          0.704030          0.446740          0.256213         36.010292         61.709000
      t1011ts288_2         90.563286          0.457183          1.548897          0.508360          0.383777          0.325053         34.994759         18.975000
      t0954ts110_4         57.254757          0.290383          1.510643          0.315330          0.437022          0.326788         82.406129         49.196000
      t1011ts085_1         61.368465          0.341986          1.479858          0.487690          0.360331          0.321991         47.208242         37.050000
    t0953s2ts414_1         19.675341          0.182023          1.277129          0.139160          0.099911         -0.025784         46.596020          9.778000
      t1003ts472_1         36.983700          0.342842          1.638220          0.630900          0.502947          0.483078         19.881163         54.205000
      t0963ts344_5         23.182911          0.360798          1.517829          0.514100          0.164108         -0.021002         25.703331         18.201000
      t1005ts243_2         60.508011          0.350162          1.530304          0.457730          0.325480          0.321213         65.047366         48.083000
      t1003ts221_1         86.389702          0.415971          1.773904          0.815120          0.536114          0.532704          9.509739         88.825000
    t0957s2ts041_1         14.087465          0.162234          1.325626          0.140740         -0.022288          0.070171         42.485982         20.411000
      t1011ts124_5         25.027866          0.361655          1.392279          0.360330          0.351285          0.448174         22.297971         34.291000
      t1003ts432_4         65.167114          0.329191          1.675109          0.608210          0.452051          0.499141          6.130571         62.212000
    t0968s2ts192_2         51.774254          0.459805          1.506002          0.550240          0.360146          0.357438         48.561241         53.261000
      t1003ts261_4         73.016190          0.400019          1.698885          0.758120          0.539890          0.521635         76.967577         88.306000
      t1003ts358_5         87.140709          0.369913          1.673905          0.600480          0.494116          0.487815         44.054895         57.949000
      t0951ts498_2         52.046547          0.448720          1.639281          0.645850          0.624855          0.705581          4.126428         68.327000
    t0968s2ts288_5         16.449266          0.392845          1.402819          0.330600          0.333804          0.294661         57.772422         39.783000
    t0968s1ts157_2         30.961842          0.118669          1.244579          0.092510         -0.033707         -0.106594         27.467087         24.576000
    t0968s1ts470_5         30.961842          0.297621          1.278150          0.371550          0.224777          0.079328         83.247545         24.576000
    t0957s2ts222_2         63.499954          0.476254          1.494657          0.733600          0.468413          0.319313         24.058588         47.152000
    t0968s2ts055_4         20.726038          0.504948          1.415750          0.530330          0.386596          0.397678         18.400155         26.957000
    t0957s2ts471_2         31.780128          0.280050          1.380668          0.332800          0.267535          0.150213          6.874423         35.918000
    t0957s2ts156_5         31.693123          0.294488          1.352269          0.242580          0.289774          0.185142         50.690580         26.266000
      t1011ts397_4         17.419222          0.303848          1.446871          0.569360          0.397096          0.373506         52.432787         35.191000
