           time                 xpos                 ypos
      13.750000             6.163913           -17.813125
      13.812500             5.928662           -16.841190
      13.875000             5.851172           -15.844197
      13.937500             5.107327           -16.512549
      14.000000             4.526943           -17.326892
      14.062500             5.246293           -16.632245
      14.125000             6.177268           -16.997328
      14.187500             5.539393           -17.767468
      14.250000             4.866031           -18.506781
      14.312500             3.894129           -18.271397
      14.375000             4.502222           -17.477532
      14.437500             5.274927           -18.112297
      14.500000             6.106726           -17.557221
      14.562500             5.246816           -17.046775
      14.625000             4.346609           -16.611315
      14.687500             4.168133           -15.627370
      14.750000             3.217060           -15.318405
      14.812500             4.200355           -15.500422
      14.875000             3.517118           -14.770226
      14.937500             3.032080           -15.644719
      15.000000             4.030994           -15.691317
      15.062500             4.466684           -16.591414
      15.125000             4.172668           -17.547214
      15.187500             4.517566           -18.485854
      15.250000             4.910890           -17.566454
      15.312500             4.533859           -16.640254
      15.375000             4.492426           -17.639395
      15.437500             4.771898           -16.679241
      15.500000             5.057510           -17.637586
      15.562500             4.272133           -18.256603
      15.625000             3.432746           -17.713068
      15.687500             4.266957           -17.161623
      15.750000             4.762643           -16.293121
      15.812500             3.984398           -15.665160
      15.875000             3.275634           -14.959715
      15.937500             2.661824           -14.170261
      16.000000             2.220740           -13.272795
      16.062500             3.073643           -12.750726
      16.125000             2.073783           -12.733971
      16.187500             2.015422           -11.735675
      16.250000             1.874487           -12.725694
      16.312500             0.916099           -13.011160
      16.375000             0.151765           -13.655981
      16.437500            -0.048567           -12.676253
      16.500000             0.634443           -11.945843
      16.562500             0.995750           -11.013396
      16.625000             0.175928           -10.440777
      16.687500            -0.694440           -10.933179
      16.750000            -1.620014           -11.311746
      16.812500            -2.610758           -11.176007
      16.875000            -1.653439           -10.886973
      16.937500            -1.619003           -11.886380
      17.000000            -1.025978           -11.081196
      17.062500            -0.430716           -10.277664
      17.125000            -1.251062            -9.705797
      17.187500            -2.117004            -9.205654
      17.250000            -1.127802            -9.352208
      17.312500            -2.117898            -9.211818
      17.375000            -1.223385            -8.764776
      17.437500            -1.249371            -9.764439
      17.500000            -1.839403            -8.957059
      17.562500            -0.840202            -8.997025
      17.625000            -1.376865            -8.153228
      17.687500            -2.055212            -8.887970
      17.750000            -1.933758            -9.880567
      17.812500            -2.213858            -8.920596
      17.875000            -2.170563            -9.919658
      17.937500            -3.081994           -10.331111
      18.000000            -3.993256           -10.742938
      18.062500            -3.027336           -11.001779
      18.125000            -3.785777           -10.350037
      18.187500            -4.545069            -9.699287
      18.250000            -5.306743            -9.051327
      18.312500            -6.273634            -8.796139
      18.375000            -7.176561            -8.366344
      18.437500            -6.445588            -9.048751
      18.500000            -5.811316            -9.821861
      18.562500            -6.470882            -9.070214
      18.625000            -5.782274            -8.345081
      18.687500            -4.836614            -8.019923
      18.750000            -4.064079            -7.384951
      18.812500            -4.567292            -8.249113
      18.875000            -3.724872            -7.710292
      18.937500            -3.151093            -8.529302
      19.000000            -4.120085            -8.776392
      19.062500            -3.615924            -9.640002
      19.125000            -3.464901           -10.628532
      19.187500            -4.459265           -10.522516
      19.250000            -3.841693           -11.309030
      19.312500            -3.088845           -10.650836
      19.375000            -2.505413            -9.838674
      19.437500            -1.666653           -10.383174
      19.500000            -0.758959           -10.802808
      19.562500            -1.419222           -10.051773
      19.625000            -1.795046           -10.978464
      19.687500            -2.613236           -11.553412
      19.750000            -1.951325           -12.302994
      19.812500            -2.937640           -12.138120
      19.875000            -3.474145           -11.294223
      19.937500            -4.210841           -10.617999
      20.000000            -3.746196            -9.732503
      20.062500            -3.026121           -10.426399
      20.125000            -2.052948           -10.656471
      20.187500            -2.036954            -9.656599
      20.250000            -1.467563            -8.834533
      20.312500            -1.500766            -7.835084
      20.375000            -1.158141            -6.895612
      20.437500            -1.748232            -6.088275
      20.500000            -2.581047            -5.534723
      20.562500            -2.738150            -4.547141
      20.625000            -3.417194            -3.813043
      20.687500            -3.532646            -4.806356
      20.750000            -2.543127            -4.950762
      20.812500            -1.805232            -5.625677
      20.875000            -2.372699            -4.802281
      20.937500            -2.974610            -4.003718
      21.000000            -3.961504            -4.165089
      21.062500            -3.611176            -5.101716
      21.125000            -4.017846            -6.015291
      21.187500            -3.609590            -5.102424
      21.250000            -4.381027            -5.738730
      21.312500            -5.378379            -5.811461
      21.375000            -5.972043            -6.616174
      21.437500            -5.551989            -7.523673
      21.500000            -6.463324            -7.935338
      21.562500            -6.017999            -8.830707
      21.625000            -5.142982            -9.314800
      21.687500            -5.978512            -8.765354
      21.750000            -5.173741            -8.171768
      21.812500            -4.714711            -9.060189
      21.875000            -4.913075            -8.080061
      21.937500            -4.048149            -7.578161
      22.000000            -4.591664            -6.738762
      22.062500            -3.985059            -5.943758
      22.125000            -4.960783            -5.724751
      22.187500            -4.299367            -6.474771
      22.250000            -3.306211            -6.357974
      22.312500            -2.481146            -6.923011
      22.375000            -3.471674            -6.785701
      22.437500            -4.460423            -6.636117
      22.500000            -4.851059            -5.715572
      22.562500            -4.689476            -6.702431
      22.625000            -5.057165            -7.632380
      22.687500            -5.981231            -7.250146
      22.750000            -6.602766            -6.466760
      22.812500            -6.766034            -7.453342
      22.875000            -6.824389            -6.455046
      22.937500            -7.638308            -5.874067
      23.000000            -8.618780            -6.070726
      23.062500            -9.582486            -6.337692
      23.125000           -10.148652            -5.513402
      23.187500           -10.905725            -4.860071
      23.250000           -10.535395            -5.788971
      23.312500            -9.699715            -6.338188
      23.375000           -10.686123            -6.173876
      23.437500           -10.058137            -6.952100
      23.500000            -9.997705            -5.953928
      23.562500           -10.731625            -6.633164
      23.625000           -10.707929            -7.632883
      23.687500           -10.302281            -8.546912
      23.750000            -9.303862            -8.603113
      23.812500            -8.748597            -9.434787
      23.875000            -8.287979            -8.547188
      23.937500            -7.697315            -7.740271
      24.000000            -8.655489            -8.026457
      24.062500            -9.655201            -8.050484
      24.125000           -10.485649            -8.607579
      24.187500           -11.433406            -8.288587
      24.250000           -11.852426            -7.380609
      24.312500           -11.374399            -6.502264
      24.375000           -11.041259            -5.559387
      24.437500           -10.849049            -6.540740
      24.500000           -10.500061            -7.477868
      24.562500           -11.237318            -6.802255
      24.625000           -12.185662            -7.119498
      24.687500           -11.539468            -7.882671
      24.750000           -11.113630            -6.977872
      24.812500           -10.461622            -7.736084
      24.875000            -9.861387            -8.535908
      24.937500            -8.883835            -8.746600
      25.000000            -8.849865            -9.746023
      25.062500            -9.625928            -9.115368
      25.125000            -9.835501           -10.093161
      25.187500            -9.708806           -11.085103
      25.250000            -8.811679           -11.526874
      25.312500            -9.369036           -10.696601
      25.375000            -8.383387           -10.527791
      25.437500            -9.324876           -10.190748
      25.500000            -9.976939            -9.432583
      25.562500            -9.570606            -8.518858
      25.625000           -10.306742            -9.195691
      25.687500           -10.914026            -8.401205
      25.750000           -11.490437            -7.584046
      25.812500           -10.983362            -6.722144
      25.875000           -10.672470            -5.771698
      25.937500           -11.208527            -6.615880
      26.000000           -11.816562            -7.409791
      26.062500           -11.131057            -6.681722
      26.125000           -11.168797            -7.681010
      26.187500           -10.175639            -7.564234
      26.250000            -9.176365            -7.526117
      26.312500            -8.269770            -7.104117
      26.375000            -7.701204            -7.926755
      26.437500            -8.672643            -7.689466
      26.500000            -8.961614            -6.732127
      26.562500            -9.008904            -5.733246
      26.625000            -9.911437            -6.163867
      26.687500           -10.246564            -5.221694
      26.750000           -10.186226            -6.219872
      26.812500           -11.137641            -6.527784
      26.875000           -10.208996            -6.898753
      26.937500           -11.111501            -6.468075
      27.000000           -10.524577            -7.277717
      27.062500           -11.337054            -7.860710
      27.125000           -11.520735            -8.843696
      27.187500           -10.857643            -9.592233
      27.250000           -10.027741            -9.034322
      27.312500            -9.834633            -8.053145
      27.375000           -10.098536            -7.088596
      27.437500            -9.658052            -6.190835
      27.500000           -10.428398            -6.828462
      27.562500           -10.065532            -5.896621
      27.625000           -10.905421            -5.353863
      27.687500           -11.904583            -5.312926
      27.750000           -11.958944            -4.314404
      27.812500           -12.653634            -3.595095
      27.875000           -11.682170            -3.357905
      27.937500           -10.713654            -3.108954
      28.000000           -11.675903            -2.836782
      28.062500           -12.657912            -3.025617
      28.125000           -13.594933            -2.676346
      28.187500           -13.068517            -3.526573
      28.250000           -12.356973            -4.229214
      28.312500           -12.772046            -3.319426
      28.375000           -13.518263            -2.653723
      28.437500           -13.553869            -1.654358
      28.500000           -13.771291            -0.678280
      28.562500           -14.034031            -1.643146
      28.625000           -15.025880            -1.515723
      28.687500           -15.626542            -2.315226
      28.750000           -15.448692            -3.299284
      28.812500           -14.512049            -2.948997
      28.875000           -13.667551            -3.484555
      28.937500           -13.257446            -2.572517
      29.000000           -14.254896            -2.643886
      29.062500           -13.888836            -1.713295
      29.125000           -12.906643            -1.525424
      29.187500           -11.991454            -1.122399
      29.250000           -11.998986            -2.122370
      29.312500           -11.084683            -2.527401
      29.375000           -11.084439            -3.527401
      29.437500           -10.434554            -2.767368
      29.500000           -10.113182            -3.714322
      29.562500            -9.358176            -4.370039
      29.625000            -8.762963            -3.566471
      29.687500            -7.784249            -3.361242
      29.750000            -7.186150            -4.162665
      29.812500            -6.408945            -3.533418
      29.875000            -5.627654            -2.909251
      29.937500            -6.469426            -2.369419
      30.000000            -5.517995            -2.677281
      30.062500            -6.345753            -3.238367
      30.125000            -6.776482            -4.140848
      30.187500            -6.045490            -3.458462
      30.250000            -5.875659            -2.472989
      30.312500            -6.875374            -2.449131
      30.375000            -6.975185            -3.444137
      30.437500            -6.835043            -4.434268
      30.500000            -6.098346            -3.758045
      30.562500            -5.134664            -4.025100
      30.625000            -4.281921            -4.547429
      30.687500            -3.621277            -3.796730
      30.750000            -4.436353            -3.217376
      30.812500            -3.589340            -3.748948
      30.875000            -3.650085            -2.750794
      30.937500            -4.288434            -3.520541
      31.000000            -5.110815            -2.951603
      31.062500            -5.281675            -1.966308
      31.125000            -5.396152            -2.959734
      31.187500            -4.651540            -3.627232
      31.250000            -4.116055            -4.471777
      31.312500            -3.708092            -5.384775
      31.375000            -4.400024            -6.106738
      31.437500            -4.295083            -5.112259
      31.500000            -3.362980            -4.750067
      31.562500            -2.440602            -5.136356
      31.625000            -3.366454            -4.758470
      31.687500            -4.357534            -4.891736
      31.750000            -3.574259            -4.270061
      31.812500            -2.692893            -3.797628
      31.875000            -1.719368            -4.026211
      31.937500            -1.821512            -5.020981
      32.000000            -1.630545            -6.002577
      32.062500            -1.536166            -5.007041
      32.125000            -2.458577            -5.393249
      32.187500            -3.040180            -6.206722
      32.250000            -2.178883            -5.698621
      32.312500            -1.194599            -5.522027
      32.375000            -1.850802            -4.767443
      32.437500            -1.779181            -3.770011
      32.500000            -2.403524            -4.551161
      32.562500            -1.403965            -4.521485
      32.625000            -0.904894            -5.388046
      32.687500            -1.873498            -5.636658
      32.750000            -2.823788            -5.325294
      32.812500            -3.810543            -5.163076
      32.875000            -3.296493            -6.020836
      32.937500            -3.686388            -5.099977
      33.000000            -4.564951            -5.577604
      33.062500            -4.976483            -6.488999
      33.125000            -4.050441            -6.866419
      33.187500            -4.626972            -6.049344
      33.250000            -3.893534            -6.729101
      33.312500            -4.860319            -6.984695
      33.375000            -4.084820            -6.353346
      33.437500            -5.063436            -6.147653
      33.500000            -4.324352            -6.821266
      33.562500            -3.651619            -7.561151
      33.625000            -4.651017            -7.526467
      33.687500            -5.614746            -7.793349
      33.750000            -5.946414            -8.736746
      33.812500            -5.452717            -9.606380
      33.875000            -5.625925            -8.621494
      33.937500            -4.682534            -8.953177
      34.000000            -4.105294            -8.136602
      34.062500            -3.405178            -8.850632
      34.125000            -3.620440            -9.827188
      34.187500            -2.770404           -10.353914
      34.250000            -3.420477           -11.113786
      34.312500            -2.550893           -11.607571
      34.375000            -3.547913           -11.684713
      34.437500            -2.775658           -12.320026
      34.500000            -1.831386           -11.990862
      34.562500            -2.809722           -12.197882
      34.625000            -3.768938           -12.480556
      34.687500            -4.416607           -13.242478
      34.750000            -3.987712           -12.339124
      34.812500            -4.953250           -12.078861
      34.875000            -3.981005           -12.312825
      34.937500            -3.141126           -11.770050
      35.000000            -3.649849           -10.909120
      35.062500            -3.269803            -9.984152
      35.125000            -4.256480           -10.146844
      35.187500            -3.822507           -11.047770
      35.250000            -3.977737           -10.059892
      35.312500            -4.326850            -9.122811
      35.375000            -3.491917            -8.572460
      35.437500            -2.542526            -8.886558
      35.500000            -2.958576            -7.977216
      35.562500            -3.839507            -8.450461
      35.625000            -4.612048            -9.085425
      35.687500            -3.612997            -9.041880
      35.750000            -3.312559            -9.995681
      35.812500            -3.069200           -10.965618
      35.875000            -3.746799           -11.701049
      35.937500            -4.068542           -10.754222
      36.000000            -4.748757           -11.487235
      36.062500            -5.583819           -10.937079
      36.125000            -4.636131           -10.617879
      36.187500            -4.141732           -11.487114
      36.250000            -4.541886           -12.403562
      36.312500            -4.364175           -11.419479
      36.375000            -3.414220           -11.107094
      36.437500            -2.723762           -11.830466
      36.500000            -3.190402           -12.714913
      36.562500            -3.168820           -11.715146
      36.625000            -2.179161           -11.571705
      36.687500            -1.642997           -10.727591
      36.750000            -2.357043           -11.427690
      36.812500            -1.914301           -12.324339
      36.875000            -1.721756           -13.305627
      36.937500            -2.610447           -13.764134
      37.000000            -1.615285           -13.862385
      37.062500            -2.511713           -13.419194
      37.125000            -3.183749           -14.159712
      37.187500            -2.502959           -14.892191
      37.250000            -3.188212           -14.163885
      37.312500            -3.962763           -13.531374
      37.375000            -4.865060           -13.962490
      37.437500            -4.457355           -13.049376
      37.500000            -4.820081           -13.981272
      37.562500            -5.749054           -14.351418
      37.625000            -6.730184           -14.544769
      37.687500            -5.756460           -14.317039
      37.750000            -5.441496           -15.266143
      37.812500            -5.205298           -16.237848
      37.875000            -5.262583           -15.239490
      37.937500            -4.306045           -14.947882
      38.000000            -3.364323           -15.284275
      38.062500            -3.191612           -16.269248
      38.125000            -3.966467           -15.637109
      38.187500            -3.027237           -15.293823
      38.250000            -3.239667           -16.270999
      38.312500            -3.081616           -15.283568
      38.375000            -2.580319           -16.148843
      38.437500            -1.750388           -16.706710
      38.500000            -0.891485           -17.218848
      38.562500            -0.599465           -18.175260
      38.625000             0.170687           -17.537400
      38.687500            -0.807139           -17.746820
      38.750000            -0.450215           -16.812686
      38.812500             0.158984           -16.019669
      38.875000             0.758110           -16.820324
      38.937500            -0.122959           -17.293311
      39.000000            -0.033140           -18.289269
      39.062500            -0.002581           -17.289736
      39.125000             0.464549           -18.173925
      39.187500             1.462571           -18.111054
      39.250000             2.000355           -18.954137
      39.312500             2.499926           -18.087864
      39.375000             1.924328           -17.270131
      39.437500             2.674060           -17.931872
      39.500000             1.736436           -18.279524
      39.562500             2.638184           -18.711785
      39.625000             2.012357           -17.931824
      39.687500             2.763131           -18.592382
      39.750000             2.913166           -19.581063
      39.812500             3.850623           -19.929164
      39.875000             4.367600           -19.073165
      39.937500             5.192571           -18.507989
      40.000000             6.098064           -18.083629
      40.062500             5.195085           -18.513314
      40.125000             4.864145           -17.569662
      40.187500             3.864303           -17.587490
      40.250000             4.501928           -16.817143
      40.312500             5.177006           -17.554889
      40.375000             4.417821           -18.205763
      40.437500             4.896143           -19.083947
      40.500000             4.750897           -20.073343
      40.562500             4.928917           -21.057370
      40.625000             4.345372           -20.245289
      40.687500             4.079196           -19.281365
      40.750000             3.857507           -20.256482
      40.812500             4.565109           -19.549871
      40.875000             3.670386           -19.996493
      40.937500             4.160047           -20.868406
      41.000000             4.415134           -19.901488
      41.062500             4.700796           -18.943157
      41.125000             5.253028           -19.776848
      41.187500             4.366210           -20.238967
      41.250000             3.380380           -20.406715
      41.312500             2.958178           -21.313217
      41.375000             2.221185           -20.637316
      41.437500             2.705058           -19.762178
      41.500000             1.829109           -19.279773
      41.562500             1.464672           -18.348545
      41.625000             2.464625           -18.358310
      41.687500             3.427263           -18.087519
      41.750000             3.197344           -17.114310
      41.812500             2.361871           -17.663841
      41.875000             2.848706           -18.537336
      41.937500             2.158851           -19.261283
      42.000000             1.761284           -18.343710
      42.062500             1.510023           -19.311629
      42.125000             1.312000           -20.291827
      42.187500             1.551065           -21.262830
      42.250000             2.418903           -21.759677
      42.312500             2.381972           -20.760359
      42.375000             3.369971           -20.914822
      42.437500             2.855731           -20.057175
      42.500000             2.694882           -21.044154
      42.562500             2.367310           -21.988980
      42.625000             3.252770           -21.524264
      42.687500             2.407485           -22.058580
      42.750000             2.120533           -23.016525
      42.812500             1.478332           -23.783061
      42.875000             0.667890           -23.197241
      42.937500             1.377409           -22.492554
      43.000000             2.094372           -23.189666
      43.062500             2.858829           -23.834340
      43.125000             1.861079           -23.767295
      43.187500             2.584398           -23.076781
      43.250000             3.098204           -23.934688
      43.312500             2.668437           -23.031748
      43.375000             2.841719           -22.046876
      43.437500             3.616248           -22.679415
      43.500000             2.769497           -22.147425
      43.562500             1.908726           -21.638433
      43.625000             2.318148           -22.550777
      43.687500             1.319366           -22.600108
      43.750000             0.560627           -23.251503
      43.812500             0.420320           -22.261395
      43.875000            -0.558163           -22.055066
      43.937500            -0.767932           -23.032817
      44.000000            -1.623525           -22.515170
      44.062500            -0.829913           -21.906746
      44.125000            -1.138066           -20.955410
      44.187500            -1.708238           -21.776935
      44.250000            -1.041477           -22.522207
      44.312500            -1.746981           -23.230913
      44.375000            -1.024630           -22.539387
      44.437500            -0.089546           -22.184960
      44.500000             0.817576           -21.764093
      44.562500             1.120077           -22.717242
      44.625000             1.223457           -21.722600
      44.687500             1.202498           -22.722380
      44.750000             2.035643           -23.275435
      44.812500             1.320763           -23.974683
      44.875000             0.363618           -23.685075
      44.937500             0.503280           -22.694876
      45.000000             1.006133           -23.559248
      45.062500             1.473505           -24.443308
      45.125000             0.794711           -25.177637
      45.187500             1.465938           -25.918889
      45.250000             1.050930           -25.009071
      45.312500             1.465402           -24.099009
      45.375000             1.597929           -23.107829
      45.437500             2.339469           -22.436920
      45.500000             1.406665           -22.797306
      45.562500             0.581291           -22.232721
      45.625000             0.313102           -21.269354
      45.687500             0.268551           -22.268361
      45.750000            -0.434188           -21.556913
      45.812500             0.232722           -20.811774
      45.875000             0.911256           -20.077206
      45.937500             0.932823           -19.077438
      46.000000             1.778361           -19.611353
      46.062500             2.443732           -18.864840
      46.125000             1.839696           -18.067883
      46.187500             0.839879           -18.048747
      46.250000             0.167396           -17.308635
      46.312500             0.669496           -16.443825
      46.375000            -0.150723           -17.015876
      46.437500            -0.962926           -16.432501
      46.500000            -1.667916           -17.141718
      46.562500            -0.975210           -16.420498
      46.625000            -1.136495           -15.433590
      46.687500            -0.955541           -14.450098
      46.750000            -1.955446           -14.436296
      46.812500            -2.909945           -14.734510
      46.875000            -2.876429           -15.733948
      46.937500            -1.938832           -16.081673
      47.000000            -2.864513           -15.703368
      47.062500            -1.864650           -15.686855
      47.125000            -1.751713           -16.680457
      47.187500            -0.838486           -16.273006
      47.250000            -0.026015           -16.856008
      47.312500            -0.861213           -16.306059
      47.375000            -1.628096           -15.664273
      47.437500            -0.853733           -15.031531
      47.500000            -1.599660           -15.697559
      47.562500            -1.173819           -16.602356
      47.625000            -2.156826           -16.418792
      47.687500            -1.917902           -17.389830
      47.750000            -1.341824           -16.572435
      47.812500            -0.906225           -15.672294
      47.875000            -1.865374           -15.955197
      47.937500            -1.328410           -16.798802
      48.000000            -0.516968           -16.214369
      48.062500             0.047050           -15.388606
      48.125000             0.791132           -16.056694
      48.187500             1.704381           -16.464097
      48.250000             2.317347           -15.673987
      48.312500             2.178048           -16.664238
      48.375000             1.265505           -16.255256
